"filename", "language", "JavaScript", "SQL", "HTML", "Markdown", "JSON with Comments", "JSON", "CSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\contests%40oijoij.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\contestsOverview%40DBDisz.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\contestsOverview%40oijoij.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\disciplines%40DBDisz.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\disciplines%40oijoij.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\eventGroups%40DBDisz.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\eventGroups%40oijoij.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\events%40DBDisz.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\events%40oijoij.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\inscriptions%40DBDisz.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
